item_num,DWA_ID
141,4.A.4.a.5.I10.D03
142,4.A.3.a.2.I36.D04
143,4.A.3.a.2.I12.D03
144,4.A.2.a.2.I04.D01
145,4.A.3.b.6.I05.D01
146,4.A.2.a.2.I01.D03
147,4.A.3.b.6.I08.D24
148,4.A.3.a.2.I22.D08
149,4.A.2.a.4.I05.D05
150,4.A.1.b.2.I05.D07
151,4.A.3.a.1.I17.D05
152,4.A.2.a.1.I04.D03
153,4.A.4.c.3.I06.D01
154,4.A.4.c.1.I03.D10
155,4.A.2.b.2.I27.D02
156,4.A.4.a.5.I03.D04
157,4.A.4.a.5.I12.D06
158,4.A.3.a.2.I32.D01
159,4.A.3.b.4.I02.D08
160,4.A.2.a.4.I06.D02
161,4.A.1.b.2.I03.D01
162,4.A.1.b.1.I02.D01
163,4.A.3.b.6.I13.D05
164,4.A.1.b.3.I04.D03
165,4.A.2.b.1.I10.D01
166,4.A.1.b.2.I06.D04
167,4.A.2.b.1.I08.D03
168,4.A.2.b.2.I26.D01
169,4.A.1.a.1.I02.D05
170,4.A.3.b.6.I11.D03
171,4.A.1.b.3.I04.D01
172,4.A.3.b.4.I02.D11
173,4.A.4.c.3.I05.D05
174,4.A.4.b.4.I07.D04
175,4.A.2.b.1.I06.D01
176,4.A.2.a.2.I01.D09
177,4.A.3.a.2.I38.D05
178,4.A.3.a.1.I01.D05
179,4.A.3.a.1.I12.D01
180,4.A.3.a.2.I07.D01
181,4.A.2.b.2.I16.D08
182,4.A.1.a.2.I07.D03
183,4.A.2.b.2.I16.D01
184,4.A.3.b.6.I08.D06
185,4.A.4.b.4.I15.D02
186,4.A.2.a.2.I02.D05
187,4.A.3.b.4.I08.D04
188,4.A.4.b.3.I04.D04
189,4.A.4.a.5.I03.D05
190,4.A.2.a.1.I08.D01
191,4.A.4.a.3.I03.D06
192,4.A.3.a.2.I47.D04
193,4.A.3.b.6.I08.D02
194,4.A.1.b.2.I07.D03
195,4.A.3.b.1.I03.D02
196,4.A.3.b.4.I02.D02
197,4.A.4.a.5.I06.D01
198,4.A.4.b.3.I02.D10
199,4.A.3.b.6.I02.D07
200,4.A.3.b.4.I02.D17
201,4.A.3.a.1.I06.D12
202,4.A.4.a.5.I10.D04
203,4.A.3.b.6.I08.D14
204,4.A.2.b.3.I01.D02
205,4.A.3.b.1.I04.D01
206,4.A.4.c.2.I01.D08
207,4.A.2.a.2.I05.D05
208,4.A.2.b.1.I04.D12
209,4.A.3.a.2.I04.D14
210,4.A.2.a.1.I07.D04
211,4.A.4.a.2.I11.D08
212,4.A.1.a.2.I05.D05
213,4.A.3.a.2.I22.D11
214,4.A.2.b.2.I15.D10
215,4.A.3.a.2.I42.D02
216,4.A.3.a.1.I06.D02
217,4.A.2.a.1.I07.D05
218,4.A.3.a.2.I09.D08
219,4.A.1.a.2.I03.D06
220,4.A.3.a.2.I37.D03
221,4.A.2.b.2.I06.D04
222,4.A.3.b.6.I14.D02
223,4.A.2.b.2.I18.D01
224,4.A.2.b.4.I03.D10
225,4.A.4.a.6.I03.D08
226,4.A.3.a.3.I03.D06
227,4.A.3.a.2.I27.D01
228,4.A.4.b.6.I06.D01
229,4.A.4.b.6.I05.D08
230,4.A.3.a.2.I36.D07
231,4.A.2.b.6.I02.D06
232,4.A.4.a.5.I09.D02
233,4.A.3.a.2.I01.D06
234,4.A.2.b.1.I01.D03
235,4.A.3.b.1.I06.D06
236,4.A.4.a.2.I05.D04
237,4.A.1.b.2.I04.D03
238,4.A.4.a.5.I09.D03
239,4.A.3.a.3.I05.D05
240,4.A.4.b.4.I12.D15
241,4.A.4.a.6.I03.D01
242,4.A.3.a.2.I13.D10
243,4.A.4.a.5.I01.D05
244,4.A.2.b.1.I10.D04
245,4.A.2.a.1.I05.D03
246,4.A.1.b.3.I03.D04
247,4.A.2.a.1.I07.D09
248,4.A.3.b.1.I04.D02
249,4.A.4.a.5.I01.D06
250,4.A.3.a.2.I46.D01
251,4.A.3.a.1.I12.D05
252,4.A.2.b.2.I01.D07
253,4.A.4.b.4.I15.D05
254,4.A.3.a.2.I01.D10
255,4.A.3.a.3.I04.D03
256,4.A.2.a.2.I01.D08
257,4.A.4.c.2.I01.D01
258,4.A.4.b.4.I12.D16
259,4.A.1.a.1.I18.D02
260,4.A.4.c.3.I01.D05
261,4.A.4.b.4.I13.D01
262,4.A.3.a.2.I01.D09
263,4.A.3.a.3.I11.D02
264,4.A.3.b.4.I02.D13
265,4.A.4.a.2.I06.D03
266,4.A.2.b.2.I05.D01
267,4.A.3.b.4.I06.D04
268,4.A.3.a.1.I11.D11
269,4.A.1.b.2.I05.D03
270,4.A.4.b.4.I14.D02
271,4.A.2.b.4.I03.D05
272,4.A.1.b.2.I07.D16
273,4.A.4.a.2.I09.D03
274,4.A.3.a.3.I06.D10
275,4.A.1.a.1.I02.D03
276,4.A.2.b.2.I08.D02
277,4.A.4.a.8.I03.D05
278,4.A.4.b.3.I02.D05
279,4.A.1.a.1.I06.D04
280,4.A.2.a.4.I10.D01
281,4.A.2.a.1.I06.D02
282,4.A.3.a.2.I46.D02
283,4.A.4.b.6.I03.D04
284,4.A.4.b.4.I12.D31
285,4.A.3.a.1.I05.D09
286,4.A.4.a.3.I02.D07
287,4.A.1.a.1.I23.D06
288,4.A.1.a.2.I01.D02
289,4.A.4.b.4.I01.D06
290,4.A.2.a.1.I02.D01
291,4.A.1.a.1.I21.D02
292,4.A.4.a.5.I07.D01
293,4.A.3.a.1.I17.D02
294,4.A.1.a.1.I18.D01
295,4.A.1.a.1.I16.D05
296,4.A.2.a.1.I07.D03
297,4.A.2.b.2.I26.D03
298,4.A.4.a.2.I08.D05
299,4.A.4.b.6.I01.D03
300,4.A.3.b.6.I08.D04
301,4.A.4.a.5.I03.D10
302,4.A.4.b.4.I16.D01
303,4.A.4.a.5.I11.D02
304,4.A.3.a.3.I06.D06
305,4.A.3.b.1.I06.D05
306,4.A.1.b.1.I01.D06
307,4.A.4.a.1.I01.D01
308,4.A.4.a.8.I03.D03
309,4.A.1.a.1.I10.D07
310,4.A.2.a.2.I05.D02
311,4.A.2.b.1.I04.D05
312,4.A.4.a.2.I11.D06
313,4.A.1.a.2.I02.D08
314,4.A.1.a.1.I23.D02
315,4.A.4.b.4.I01.D02
316,4.A.4.b.5.I01.D01
317,4.A.4.c.1.I03.D11
318,4.A.1.a.1.I06.D01
319,4.A.3.b.1.I03.D03
320,4.A.1.b.2.I06.D12
321,4.A.2.b.2.I02.D02
322,4.A.2.b.1.I04.D10
323,4.A.1.a.2.I07.D10
324,4.A.4.a.2.I05.D02
325,4.A.4.a.6.I03.D05
326,4.A.3.a.2.I08.D05
327,4.A.3.a.3.I02.D03
328,4.A.4.c.2.I01.D07
329,4.A.1.a.1.I04.D06
330,4.A.3.a.2.I20.D02
331,4.A.2.a.2.I05.D01
332,4.A.2.b.3.I01.D12
333,4.A.3.a.2.I04.D04
334,4.A.3.b.6.I08.D01
335,4.A.4.a.5.I12.D03
336,4.A.2.b.2.I06.D01
337,4.A.3.a.1.I08.D07
338,4.A.4.a.2.I04.D04
339,4.A.1.b.2.I06.D02
340,4.A.1.b.3.I01.D10
341,4.A.3.a.1.I01.D01
342,4.A.4.c.3.I01.D02
343,4.A.4.b.6.I10.D03
344,4.A.3.a.2.I12.D05
345,4.A.4.b.3.I06.D10
346,4.A.3.a.2.I12.D10
347,4.A.3.a.2.I03.D10
348,4.A.4.c.3.I05.D02
349,4.A.2.a.1.I06.D04
350,4.A.4.a.2.I03.D08
351,4.A.3.b.4.I01.D03
352,4.A.4.a.5.I09.D06
353,4.A.1.b.2.I06.D09
354,4.A.4.a.2.I09.D09
355,4.A.3.a.1.I10.D07
356,4.A.4.b.4.I14.D01
357,4.A.1.a.1.I02.D06
358,4.A.4.a.1.I05.D03
359,4.A.4.a.5.I11.D01
360,4.A.4.b.4.I12.D04
361,4.A.2.b.4.I03.D02
362,4.A.3.a.3.I02.D01
363,4.A.4.a.2.I11.D01
364,4.A.4.b.6.I10.D01
365,4.A.4.b.6.I10.D05
366,4.A.3.a.1.I06.D09
367,4.A.2.a.4.I10.D05
368,4.A.4.a.2.I05.D06
369,4.A.4.a.6.I03.D12
370,4.A.3.b.6.I10.D01
371,4.A.2.b.2.I20.D05
372,4.A.3.a.1.I03.D18
373,4.A.4.a.3.I02.D02
374,4.A.3.a.2.I11.D03
375,4.A.3.a.2.I46.D06
376,4.A.3.a.3.I04.D04
377,4.A.2.a.4.I11.D02
378,4.A.3.a.2.I39.D02
379,4.A.4.b.4.I12.D34
380,4.A.4.b.3.I06.D04
381,4.A.3.a.2.I43.D02
382,4.A.1.a.1.I23.D01
383,4.A.3.b.4.I04.D03
384,4.A.1.b.2.I04.D04
385,4.A.2.b.1.I11.D01
386,4.A.3.a.2.I04.D12
387,4.A.2.b.1.I01.D05
388,4.A.3.b.6.I09.D05
389,4.A.4.b.4.I09.D02
390,4.A.3.a.2.I14.D01
391,4.A.1.a.2.I05.D02
392,4.A.4.a.5.I01.D01
393,4.A.2.a.4.I06.D05
394,4.A.4.c.1.I05.D04
395,4.A.4.a.2.I08.D09
396,4.A.2.b.5.I03.D02
397,4.A.4.b.4.I13.D05
398,4.A.3.b.1.I06.D11
399,4.A.2.b.2.I01.D01
400,4.A.1.a.2.I05.D06
401,4.A.3.a.2.I31.D02
402,4.A.1.a.1.I20.D06
403,4.A.2.b.6.I02.D08
404,4.A.1.b.3.I01.D14
405,4.A.3.a.2.I42.D04
406,4.A.3.a.1.I16.D03
407,4.A.3.b.6.I14.D03
408,4.A.4.a.2.I06.D01
409,4.A.3.a.2.I42.D03
410,4.A.2.a.4.I07.D17
411,4.A.3.a.2.I40.D03
412,4.A.1.a.2.I02.D20
413,4.A.3.a.2.I42.D01
414,4.A.4.c.1.I03.D02
415,4.A.3.a.2.I34.D04
416,4.A.4.c.1.I01.D07
417,4.A.2.b.1.I01.D07
418,4.A.4.a.1.I03.D02
419,4.A.3.a.3.I04.D01
420,4.A.2.a.4.I07.D01
421,4.A.4.a.1.I04.D02
422,4.A.2.b.2.I24.D01
423,4.A.3.a.1.I07.D07
424,4.A.1.b.2.I12.D05
425,4.A.3.a.1.I05.D05
426,4.A.1.a.2.I01.D08
427,4.A.4.a.5.I09.D07
428,4.A.1.a.2.I11.D06
429,4.A.3.b.6.I08.D13
430,4.A.3.b.6.I03.D03
431,4.A.3.b.4.I06.D03
432,4.A.1.a.1.I13.D03
433,4.A.3.a.2.I12.D01
434,4.A.1.a.2.I01.D13
435,4.A.2.b.5.I01.D01
436,4.A.4.c.2.I01.D02
437,4.A.2.a.3.I01.D08
438,4.A.3.a.2.I39.D04
439,4.A.3.a.3.I11.D04
440,4.A.4.a.3.I03.D10
441,4.A.3.a.2.I22.D09
442,4.A.1.b.2.I07.D05
443,4.A.4.a.2.I08.D04
444,4.A.4.a.2.I06.D02
445,4.A.4.b.6.I09.D01
446,4.A.3.b.6.I12.D03
447,4.A.1.b.2.I10.D08
448,4.A.2.a.2.I01.D06
449,4.A.2.a.4.I09.D04
450,4.A.1.a.2.I06.D05
451,4.A.4.a.2.I08.D01
452,4.A.3.a.2.I03.D06
453,4.A.4.c.3.I06.D04
454,4.A.3.a.1.I03.D13
455,4.A.1.a.2.I10.D01
456,4.A.2.b.2.I18.D05
457,4.A.3.a.2.I34.D07
458,4.A.3.a.3.I06.D07
459,4.A.1.b.2.I06.D14
460,4.A.3.a.2.I29.D01
461,4.A.3.a.2.I46.D11
462,4.A.2.b.2.I16.D06
463,4.A.1.b.2.I06.D08
464,4.A.3.a.3.I07.D01
465,4.A.3.b.6.I08.D22
466,4.A.1.a.2.I11.D09
467,4.A.3.b.4.I08.D02
468,4.A.1.b.2.I05.D11
469,4.A.3.b.6.I08.D07
470,4.A.3.b.1.I01.D03
471,4.A.3.a.1.I17.D04
472,4.A.2.b.2.I12.D01
473,4.A.4.a.2.I03.D03
474,4.A.2.b.2.I09.D01
475,4.A.1.a.2.I04.D01
476,4.A.3.a.2.I39.D01
477,4.A.4.b.6.I08.D01
478,4.A.2.b.2.I02.D07
479,4.A.4.b.4.I11.D05
480,4.A.1.a.2.I01.D12
481,4.A.2.b.4.I01.D03
482,4.A.4.a.2.I03.D11
483,4.A.4.b.3.I02.D09
484,4.A.4.a.2.I04.D05
485,4.A.4.a.2.I03.D19
486,4.A.3.a.3.I05.D03
487,4.A.3.a.1.I08.D03
488,4.A.4.b.6.I01.D01
489,4.A.1.a.1.I11.D01
490,4.A.1.a.2.I02.D14
491,4.A.3.a.2.I46.D09
492,4.A.1.b.2.I11.D02
493,4.A.2.a.4.I11.D06
494,4.A.4.c.3.I01.D06
495,4.A.2.b.2.I11.D03
496,4.A.4.b.6.I01.D05
497,4.A.2.b.2.I15.D11
498,4.A.3.a.1.I03.D23
499,4.A.3.b.4.I08.D03
500,4.A.2.b.5.I01.D02
501,4.A.3.b.1.I03.D04
502,4.A.3.a.3.I07.D06
