DWA_ID,DWA_Title,total_steps,M1_count,M1_share,M2_count,M2_share,M3_count,M3_share,M4_count,M4_share,M5_count,M5_share,M6_count,M6_share,M7_count,M7_share,Noise_count,Noise_share,dominant_macro,dominant_share,macro_diversity,entropy
4.A.1.a.1.I04.D01,Obtain property information.,8,0,0.0,0,0.0,0,0.0,2,0.25,1,0.125,2,0.25,0,0.0,3,0.375,Noise,0.375,4,1.9056
4.A.2.b.1.I04.D02,Determine appropriate locations for operations or installations.,8,0,0.0,0,0.0,0,0.0,2,0.25,0,0.0,0,0.0,0,0.0,6,0.75,Noise,0.75,2,0.8113
4.A.4.b.3.I01.D01,Teach basic living or other adaptive skills to patients or caregivers.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.1.a.1.I16.D03,Conduct research of processes in natural or industrial ecosystems.,10,0,0.0,1,0.1,0,0.0,6,0.6,0,0.0,0,0.0,1,0.1,2,0.2,M4,0.6,4,1.571
4.A.4.c.1.I01.D05,Perform student enrollment or registration activities.,7,1,0.1429,0,0.0,0,0.0,0,0.0,0,0.0,5,0.7143,0,0.0,1,0.1429,M6,0.7143,3,1.1488
4.A.3.a.2.I17.D03,Fabricate medical devices.,9,1,0.1111,2,0.2222,0,0.0,1,0.1111,0,0.0,3,0.3333,1,0.1111,1,0.1111,M6,0.3333,6,2.4194
4.A.2.a.4.I12.D01,Conduct quantitative failure analyses of operational data.,7,0,0.0,0,0.0,0,0.0,6,0.8571,0,0.0,0,0.0,0,0.0,1,0.1429,M4,0.8571,2,0.5917
4.A.2.a.4.I10.D04,Analyze laboratory findings.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.8333,0,0.0,1,0.1667,M6,0.8333,2,0.65
4.A.3.b.6.I14.D06,Prepare information or documentation related to legal or regulatory matters.,7,1,0.1429,0,0.0,0,0.0,0,0.0,2,0.2857,0,0.0,0,0.0,4,0.5714,Noise,0.5714,3,1.3788
4.A.2.b.5.I01.D04,Schedule activities or facility use.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.5,0,0.0,3,0.5,M6,0.5,2,1.0
4.A.3.a.2.I07.D06,Shape surfaces or edges of wood workpieces.,7,0,0.0,4,0.5714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.4286,M2,0.5714,2,0.9852
4.A.4.b.3.I05.D04,Train others in computer interface or software use.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.5714,0,0.0,3,0.4286,M6,0.5714,2,0.9852
4.A.4.c.3.I05.D07,Order medical supplies or equipment.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2857,3,0.4286,2,0.2857,M7,0.4286,3,1.5567
4.A.4.a.5.I12.D04,Treat dental problems or diseases.,10,0,0.0,3,0.3,0,0.0,0,0.0,0,0.0,7,0.7,0,0.0,0,0.0,M6,0.7,2,0.8813
4.A.4.b.4.I12.D09,Coordinate logistics or other business operations.,8,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,M1,1.0,1,-0.0
4.A.3.b.6.I02.D05,Record information from legal proceedings.,10,0,0.0,0,0.0,0,0.0,4,0.4,0,0.0,1,0.1,0,0.0,5,0.5,Noise,0.5,3,1.361
4.A.4.a.6.I03.D09,Distribute promotional literature or samples to customers.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.625,1,0.125,2,0.25,M6,0.625,3,1.2988
4.A.1.a.1.I20.D05,Research advanced engineering designs or applications.,7,0,0.0,0,0.0,0,0.0,5,0.7143,0,0.0,0,0.0,1,0.1429,1,0.1429,M4,0.7143,3,1.1488
4.A.2.b.2.I15.D03,Develop instructional objectives.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.4.b.4.I03.D04,Coordinate athletic or sporting events or activities.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.3.a.2.I01.D15,Install roofing materials.,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,Noise,1.0,1,-0.0
4.A.1.b.3.I04.D05,Assess locations for potential green technology installations.,9,0,0.0,0,0.0,0,0.0,1,0.1111,0,0.0,1,0.1111,2,0.2222,5,0.5556,Noise,0.5556,4,1.6577
4.A.3.a.1.I07.D09,Spread concrete or other aggregate mixtures.,9,1,0.1111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.8889,Noise,0.8889,2,0.5033
4.A.3.a.1.I14.D01,Climb ladders or vehicles to perform duties.,10,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.9,Noise,0.9,2,0.469
4.A.4.a.1.I02.D05,Communicate organizational information to customers or other stakeholders.,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2222,2,0.2222,5,0.5556,Noise,0.5556,3,1.4355
4.A.4.c.1.I04.D01,Issue permits or other legal documents.,8,7,0.875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,M1,0.875,2,0.5436
4.A.3.a.1.I07.D05,"Spread sand, dirt or other loose materials onto surfaces.",8,1,0.125,4,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.375,M2,0.5,3,1.4056
4.A.3.a.2.I38.D03,Collect geographical or geological field data.,9,1,0.1111,0,0.0,1,0.1111,6,0.6667,0,0.0,0,0.0,0,0.0,1,0.1111,M4,0.6667,4,1.4466
4.A.3.b.6.I12.D01,Document lesson plans.,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.4.b.4.I12.D05,Coordinate sales campaigns.,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111,8,0.8889,0,0.0,M7,0.8889,2,0.5033
4.A.1.a.1.I10.D03,Investigate the environmental impact of projects.,9,0,0.0,0,0.0,0,0.0,2,0.2222,2,0.2222,0,0.0,4,0.4444,1,0.1111,M7,0.4444,4,1.8366
4.A.4.a.5.I09.D05,Assist students with special educational needs.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.2.a.4.I01.D04,Analyze environmental data.,6,0,0.0,0,0.0,0,0.0,5,0.8333,0,0.0,0,0.0,0,0.0,1,0.1667,M4,0.8333,2,0.65
4.A.4.b.3.I04.D08,Train staff members.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.4.b.4.I11.D02,Coordinate student extracurricular activities.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.5714,0,0.0,3,0.4286,M6,0.5714,2,0.9852
4.A.4.b.4.I12.D33,Direct department activities.,7,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1429,3,0.4286,0,0.0,3,0.4286,M6,0.4286,3,1.4488
4.A.2.a.4.I03.D02,Analyze risks related to investments in green technology.,9,0,0.0,0,0.0,0,0.0,2,0.2222,1,0.1111,0,0.0,2,0.2222,4,0.4444,Noise,0.4444,4,1.8366
4.A.4.b.6.I02.D01,Recommend types of assistive devices.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.3.a.2.I05.D03,Repair textiles or apparel.,6,0,0.0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,M2,1.0,1,-0.0
4.A.3.a.2.I34.D02,Rewire electrical or electronic systems.,7,0,0.0,0,0.0,0,0.0,3,0.4286,0,0.0,0,0.0,0,0.0,4,0.5714,Noise,0.5714,2,0.9852
4.A.4.b.6.I08.D02,Advise others on matters of public policy.,7,0,0.0,0,0.0,0,0.0,0,0.0,4,0.5714,1,0.1429,0,0.0,2,0.2857,M5,0.5714,3,1.3788
4.A.1.b.2.I07.D04,Inspect equipment or facilities to determine condition or maintenance needs.,7,1,0.1429,0,0.0,0,0.0,3,0.4286,2,0.2857,0,0.0,0,0.0,1,0.1429,M4,0.4286,4,1.8424
4.A.1.a.1.I20.D07,Research human performance or health factors related to engineering or design activities.,8,0,0.0,0,0.0,0,0.0,2,0.25,1,0.125,0,0.0,0,0.0,5,0.625,Noise,0.625,3,1.2988
4.A.3.a.2.I06.D01,Feed materials or products into or through equipment.,8,0,0.0,3,0.375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.625,Noise,0.625,2,0.9544
4.A.3.b.4.I08.D01,Service green vehicles to make repairs or maintain good working order.,9,1,0.1111,0,0.0,0,0.0,5,0.5556,0,0.0,1,0.1111,0,0.0,2,0.2222,M4,0.5556,4,1.6577
4.A.3.b.6.I08.D15,Maintain records of customer accounts.,8,2,0.25,0,0.0,0,0.0,1,0.125,0,0.0,2,0.25,0,0.0,3,0.375,Noise,0.375,4,1.9056
4.A.3.a.1.I05.D04,Remove trash.,7,1,0.1429,4,0.5714,1,0.1429,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1429,M2,0.5714,4,1.6645
4.A.2.b.6.I01.D01,Plan special events.,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.7,0,0.0,3,0.3,M6,0.7,2,0.8813
4.A.3.a.1.I17.D07,Cultivate land.,7,0,0.0,0,0.0,0,0.0,1,0.1429,0,0.0,0,0.0,0,0.0,6,0.8571,Noise,0.8571,2,0.5917
4.A.2.b.2.I25.D04,Design jewelry or decorative objects.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,Noise,1.0,1,-0.0
4.A.3.b.6.I07.D05,Prepare proposal documents or grant applications.,7,1,0.1429,0,0.0,0,0.0,1,0.1429,1,0.1429,0,0.0,1,0.1429,3,0.4286,Noise,0.4286,5,2.1281
4.A.4.b.3.I04.D18,Train others on work processes.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.4.a.2.I07.D01,Collaborate with other professionals to develop education or assistance programs.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.625,0,0.0,3,0.375,M6,0.625,2,0.9544
4.A.4.a.5.I12.D01,Care for patients with mental illnesses.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.4.b.6.I11.D02,Recommend investments to clients.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.8571,0,0.0,1,0.1429,M6,0.8571,2,0.5917
4.A.2.b.3.I01.D14,Attend training to learn new skills or update knowledge.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.2.b.3.I01.D01,Review professional literature to maintain professional knowledge.,8,0,0.0,0,0.0,0,0.0,7,0.875,0,0.0,0,0.0,0,0.0,1,0.125,M4,0.875,2,0.5436
4.A.4.b.4.I16.D03,Coordinate legal schedules or activities.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.3.b.6.I09.D03,Document network-related activities or tasks.,7,2,0.2857,0,0.0,0,0.0,4,0.5714,0,0.0,0,0.0,0,0.0,1,0.1429,M4,0.5714,3,1.3788
4.A.2.a.4.I07.D13,Evaluate logistics methods to reduce environmental impact.,8,0,0.0,0,0.0,0,0.0,0,0.0,2,0.25,0,0.0,3,0.375,3,0.375,M7,0.375,3,1.5613
4.A.4.a.5.I02.D05,Treat patients using physical therapy techniques.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.3.a.1.I03.D05,Clean work areas.,8,0,0.0,7,0.875,0,0.0,0,0.0,1,0.125,0,0.0,0,0.0,0,0.0,M2,0.875,2,0.5436
4.A.2.a.1.I10.D01,Evaluate project designs to determine adequacy or feasibility.,7,0,0.0,0,0.0,0,0.0,1,0.1429,1,0.1429,0,0.0,2,0.2857,3,0.4286,Noise,0.4286,4,1.8424
4.A.4.c.1.I03.D06,Process customer bills or payments.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.3.a.2.I04.D02,Assemble equipment or components.,10,1,0.1,2,0.2,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,6,0.6,Noise,0.6,4,1.571
4.A.2.a.2.I03.D05,Compile environmental or climatological data.,8,0,0.0,0,0.0,0,0.0,5,0.625,1,0.125,0,0.0,0,0.0,2,0.25,M4,0.625,3,1.2988
4.A.2.a.3.I01.D07,"Review environmental permits, plans, or reports.",7,0,0.0,0,0.0,0,0.0,2,0.2857,2,0.2857,0,0.0,0,0.0,3,0.4286,Noise,0.4286,3,1.5567
4.A.3.b.6.I13.D04,Prepare forms or applications.,7,3,0.4286,0,0.0,0,0.0,1,0.1429,1,0.1429,0,0.0,0,0.0,2,0.2857,M1,0.4286,4,1.8424
4.A.4.b.3.I04.D01,Train personnel to enhance job skills.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.3.a.2.I46.D08,Install mechanical components in production equipment.,9,0,0.0,1,0.1111,0,0.0,3,0.3333,0,0.0,0,0.0,0,0.0,5,0.5556,Noise,0.5556,3,1.3516
4.A.4.a.1.I02.D01,Inform others about laws or regulations.,6,0,0.0,0,0.0,0,0.0,0,0.0,2,0.3333,1,0.1667,0,0.0,3,0.5,Noise,0.5,3,1.4591
4.A.3.b.6.I08.D17,Document work hours or activities.,8,0,0.0,0,0.0,0,0.0,2,0.25,0,0.0,1,0.125,0,0.0,5,0.625,Noise,0.625,3,1.2988
4.A.1.a.1.I14.D03,Obtain personal or financial information about customers or applicants.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6667,0,0.0,2,0.3333,M6,0.6667,2,0.9183
4.A.2.a.4.I07.D11,Analyze data to inform personnel decisions.,8,0,0.0,0,0.0,0,0.0,4,0.5,2,0.25,0,0.0,0,0.0,2,0.25,M4,0.5,3,1.5
4.A.4.a.2.I03.D01,Communicate with other workers to coordinate activities.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.7143,0,0.0,2,0.2857,M6,0.7143,2,0.8631
4.A.2.b.2.I15.D08,Develop educational programs.,8,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,7,0.875,0,0.0,0,0.0,M6,0.875,2,0.5436
4.A.4.b.3.I04.D03,Train others in operational procedures.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.7143,0,0.0,2,0.2857,M6,0.7143,2,0.8631
4.A.3.a.2.I35.D03,Solder parts or connections between parts.,9,0,0.0,1,0.1111,1,0.1111,1,0.1111,0,0.0,0,0.0,0,0.0,6,0.6667,Noise,0.6667,4,1.4466
4.A.4.a.5.I12.D08,Treat patients using alternative medical procedures.,9,0,0.0,1,0.1111,0,0.0,0,0.0,0,0.0,8,0.8889,0,0.0,0,0.0,M6,0.8889,2,0.5033
4.A.1.b.2.I05.D13,Inspect facilities to ensure compliance with security or safety regulations.,6,1,0.1667,0,0.0,0,0.0,1,0.1667,2,0.3333,0,0.0,0,0.0,2,0.3333,M5,0.3333,4,1.9183
4.A.4.b.4.I14.D03,Manage documentation to ensure organization or accuracy.,7,1,0.1429,0,0.0,0,0.0,0,0.0,3,0.4286,0,0.0,0,0.0,3,0.4286,M5,0.4286,3,1.4488
4.A.4.b.3.I02.D02,Teach classes in area of specialization.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.875,0,0.0,1,0.125,M6,0.875,2,0.5436
4.A.4.b.4.I12.D38,Manage healthcare operations.,7,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1429,5,0.7143,0,0.0,1,0.1429,M6,0.7143,3,1.1488
4.A.3.a.4.I01.D10,Drive trucks or truck-mounted equipment.,10,6,0.6,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,0,0.0,2,0.2,M1,0.6,3,1.371
4.A.4.a.5.I09.D08,Provide for basic needs of children.,6,0,0.0,1,0.1667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.8333,Noise,0.8333,2,0.65
4.A.1.a.1.I23.D04,Interview people to obtain information about actions or status of individuals.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.5,0,0.0,3,0.5,M6,0.5,2,1.0
4.A.3.a.1.I02.D01,Operate firefighting equipment.,9,1,0.1111,0,0.0,0,0.0,8,0.8889,0,0.0,0,0.0,0,0.0,0,0.0,M4,0.8889,2,0.5033
4.A.2.a.4.I07.D10,"Analyze jobs using observation, survey, or interview techniques.",7,0,0.0,0,0.0,0,0.0,3,0.4286,2,0.2857,0,0.0,0,0.0,2,0.2857,M4,0.4286,3,1.5567
4.A.3.a.2.I15.D03,Smooth surfaces of objects or equipment.,8,0,0.0,5,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.375,M2,0.625,2,0.9544
4.A.3.b.6.I06.D02,Document client health or progress.,8,0,0.0,0,0.0,0,0.0,1,0.125,0,0.0,7,0.875,0,0.0,0,0.0,M6,0.875,2,0.5436
4.A.2.b.4.I03.D15,Develop testing routines or procedures.,9,0,0.0,0,0.0,0,0.0,7,0.7778,0,0.0,0,0.0,0,0.0,2,0.2222,M4,0.7778,2,0.7642
4.A.3.b.6.I08.D31,Record production information.,9,1,0.1111,0,0.0,0,0.0,1,0.1111,0,0.0,0,0.0,0,0.0,7,0.7778,Noise,0.7778,3,0.9864
4.A.3.a.4.I01.D13,Operate locomotives or other rail vehicles.,10,2,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.8,Noise,0.8,2,0.7219
4.A.3.a.2.I45.D02,"Apply finishes to artwork, crafts, or displays.",7,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,M2,1.0,1,-0.0
4.A.3.a.2.I03.D09,Prepare breads or doughs.,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,M2,1.0,1,-0.0
4.A.1.b.2.I09.D04,"Examine mouth, teeth, gums, or related facial structures.",8,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,7,0.875,0,0.0,0,0.0,M6,0.875,2,0.5436
4.A.4.a.2.I09.D01,Collaborate with others to determine production details.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.5714,0,0.0,3,0.4286,M6,0.5714,2,0.9852
4.A.4.c.3.I05.D03,"Purchase materials, equipment, or other resources.",9,1,0.1111,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111,1,0.1111,6,0.6667,Noise,0.6667,4,1.4466
4.A.4.b.3.I03.D01,Educate the public about fire safety or prevention.,8,0,0.0,0,0.0,0,0.0,3,0.375,0,0.0,3,0.375,0,0.0,2,0.25,M4,0.375,3,1.5613
4.A.4.a.5.I06.D02,Fit patients for assistive devices.,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.2.a.2.I02.D04,Sort forestry or agricultural materials.,6,1,0.1667,0,0.0,1,0.1667,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6667,Noise,0.6667,3,1.2516
4.A.2.a.2.I05.D04,Verify accuracy of patient information.,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.9091,0,0.0,1,0.0909,M6,0.9091,2,0.4395
4.A.2.b.3.I01.D23,Review laws or regulations to maintain professional knowledge.,7,0,0.0,0,0.0,0,0.0,0,0.0,3,0.4286,0,0.0,0,0.0,4,0.5714,Noise,0.5714,2,0.9852
4.A.4.b.4.I09.D04,Prepare operational budgets.,10,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,8,0.8,1,0.1,M7,0.8,3,0.9219
4.A.4.b.4.I08.D03,Manage control system activities in organizations.,7,0,0.0,0,0.0,0,0.0,1,0.1429,0,0.0,0,0.0,0,0.0,6,0.8571,Noise,0.8571,2,0.5917
4.A.3.b.4.I07.D03,Repair tires.,9,0,0.0,3,0.3333,0,0.0,1,0.1111,0,0.0,0,0.0,0,0.0,5,0.5556,Noise,0.5556,3,1.3516
4.A.4.b.4.I12.D30,Direct passenger or freight transport activities.,10,9,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,M1,0.9,2,0.469
4.A.2.b.2.I25.D03,Choreograph dances.,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,M6,1.0,1,-0.0
4.A.3.a.2.I12.D07,Cut wood components for installation.,9,0,0.0,5,0.5556,1,0.1111,0,0.0,0,0.0,0,0.0,0,0.0,3,0.3333,M2,0.5556,3,1.3516
4.A.1.b.2.I02.D01,Test green technologies or processes.,6,0,0.0,0,0.0,0,0.0,2,0.3333,0,0.0,0,0.0,2,0.3333,2,0.3333,M4,0.3333,3,1.585
4.A.2.a.4.I01.D01,Locate natural resources using geospatial or other environmental data.,9,1,0.1111,0,0.0,0,0.0,4,0.4444,1,0.1111,0,0.0,0,0.0,3,0.3333,M4,0.4444,4,1.7527
4.A.2.b.5.I02.D03,Schedule instructional activities.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.875,0,0.0,1,0.125,M6,0.875,2,0.5436
4.A.3.a.3.I03.D01,Operate drilling equipment.,10,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,9,0.9,Noise,0.9,2,0.469
4.A.2.a.4.I02.D05,Analyze website or related online data to track trends or usage.,7,1,0.1429,0,0.0,0,0.0,4,0.5714,1,0.1429,0,0.0,0,0.0,1,0.1429,M4,0.5714,4,1.6645
4.A.2.b.2.I02.D10,Design software applications.,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0909,3,0.2727,7,0.6364,Noise,0.6364,3,1.2407
4.A.2.a.2.I01.D02,Verify information or specifications.,7,0,0.0,0,0.0,0,0.0,1,0.1429,1,0.1429,0,0.0,1,0.1429,4,0.5714,Noise,0.5714,4,1.6645
4.A.4.b.6.I06.D02,Advise communities or institutions regarding health or safety issues.,6,0,0.0,0,0.0,0,0.0,0,0.0,3,0.5,1,0.1667,0,0.0,2,0.3333,M5,0.5,3,1.4591
4.A.3.a.2.I09.D14,Adjust flow of electricity to tools or production equipment.,9,0,0.0,0,0.0,0,0.0,8,0.8889,0,0.0,0,0.0,0,0.0,1,0.1111,M4,0.8889,2,0.5033
4.A.4.b.4.I10.D02,Direct construction or extraction personnel.,8,0,0.0,0,0.0,0,0.0,0,0.0,2,0.25,1,0.125,0,0.0,5,0.625,Noise,0.625,3,1.2988
4.A.2.a.3.I01.D09,Review plans or proposals for environmental conservation.,8,0,0.0,0,0.0,0,0.0,1,0.125,3,0.375,0,0.0,2,0.25,2,0.25,M5,0.375,4,1.9056
4.A.1.a.1.I09.D02,Research industrial processes or operations.,8,0,0.0,0,0.0,0,0.0,1,0.125,2,0.25,0,0.0,0,0.0,5,0.625,Noise,0.625,3,1.2988
4.A.3.a.2.I04.D07,Install vehicle parts or accessories.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,Noise,1.0,1,-0.0
4.A.4.a.3.I03.D09,"Provide basic information to guests, visitors, or clients.",6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,Noise,1.0,1,-0.0
4.A.2.b.2.I18.D18,Create graphical representations of mechanical equipment.,9,0,0.0,1,0.1111,0,0.0,0,0.0,0,0.0,0,0.0,6,0.6667,2,0.2222,M7,0.6667,3,1.2244
4.A.3.a.1.I07.D06,Apply adhesives to construction materials.,9,1,0.1111,8,0.8889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,M2,0.8889,2,0.5033
