item_num,DWA_ID,claude_vote,gemini_vote,gpt_vote,final_choice,status
140,4.A.3.a.2.I34.D01,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
141,4.A.4.a.5.I10.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
142,4.A.3.a.2.I36.D04,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
143,4.A.3.a.2.I12.D03,A,A,D,A,2/3 consensus
144,4.A.2.a.2.I04.D01,A,A,D,A,2/3 consensus
145,4.A.3.b.6.I05.D01,C,C,D,C,2/3 consensus
146,4.A.2.a.2.I01.D03,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
147,4.A.3.b.6.I08.D24,A,C,A,A,2/3 consensus
148,4.A.3.a.2.I22.D08,D,C,D,D,2/3 consensus
149,4.A.2.a.4.I05.D05,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
150,4.A.1.b.2.I05.D07,C,D,D,D,2/3 consensus
151,4.A.3.a.1.I17.D05,C,C,C,C,3/3 consensus
152,4.A.2.a.1.I04.D03,C,C,D,C,2/3 consensus
153,4.A.4.c.3.I06.D01,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
154,4.A.4.c.1.I03.D10,D,D,D,D,3/3 consensus
155,4.A.2.b.2.I27.D02,C,C,D,C,2/3 consensus
156,4.A.4.a.5.I03.D04,D,D,D,D,3/3 consensus
157,4.A.4.a.5.I12.D06,D,C,D,D,2/3 consensus
158,4.A.3.a.2.I32.D01,C,A,C,C,2/3 consensus
159,4.A.3.b.4.I02.D08,A,A,D,A,2/3 consensus
160,4.A.2.a.4.I06.D02,C,C,D,C,2/3 consensus
161,4.A.1.b.2.I03.D01,B,A,C,CONFLICT,1:1:1 conflict -- needs human review
162,4.A.1.b.1.I02.D01,C,D,D,D,2/3 consensus
163,4.A.3.b.6.I13.D05,C,C,D,C,2/3 consensus
164,4.A.1.b.3.I04.D03,A,A,C,A,2/3 consensus
165,4.A.2.b.1.I10.D01,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
166,4.A.1.b.2.I06.D04,B,A,A,A,2/3 consensus
167,4.A.2.b.1.I08.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
168,4.A.2.b.2.I26.D01,A,A,D,A,2/3 consensus
169,4.A.1.a.1.I02.D05,C,C,B,C,2/3 consensus
170,4.A.3.b.6.I11.D03,D,D,B,D,2/3 consensus
171,4.A.1.b.3.I04.D01,C,C,D,C,2/3 consensus
172,4.A.3.b.4.I02.D11,C,C,C,C,3/3 consensus
173,4.A.4.c.3.I05.D05,A,D,D,D,2/3 consensus
174,4.A.4.b.4.I07.D04,B,C,B,B,2/3 consensus
175,4.A.2.b.1.I06.D01,D,D,D,D,3/3 consensus
176,4.A.2.a.2.I01.D09,D,D,D,D,3/3 consensus
177,4.A.3.a.2.I38.D05,C,C,D,C,2/3 consensus
178,4.A.3.a.1.I01.D05,D,A,C,CONFLICT,1:1:1 conflict -- needs human review
179,4.A.3.a.1.I12.D01,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
180,4.A.3.a.2.I07.D01,B,A,A,A,2/3 consensus
181,4.A.2.b.2.I16.D08,C,C,C,C,3/3 consensus
182,4.A.1.a.2.I07.D03,D,A,A,A,2/3 consensus
183,4.A.2.b.2.I16.D01,A,D,D,D,2/3 consensus
184,4.A.3.b.6.I08.D06,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
185,4.A.4.b.4.I15.D02,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
186,4.A.2.a.2.I02.D05,D,B,D,D,2/3 consensus
187,4.A.3.b.4.I08.D04,B,D,D,D,2/3 consensus
188,4.A.4.b.3.I04.D04,D,C,A,CONFLICT,1:1:1 conflict -- needs human review
189,4.A.4.a.5.I03.D05,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
190,4.A.2.a.1.I08.D01,A,D,D,D,2/3 consensus
191,4.A.4.a.3.I03.D06,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
192,4.A.3.a.2.I47.D04,A,A,D,A,2/3 consensus
193,4.A.3.b.6.I08.D02,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
194,4.A.1.b.2.I07.D03,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
195,4.A.3.b.1.I03.D02,D,A,D,D,2/3 consensus
196,4.A.3.b.4.I02.D02,C,C,D,C,2/3 consensus
197,4.A.4.a.5.I06.D01,A,A,D,A,2/3 consensus
198,4.A.4.b.3.I02.D10,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
199,4.A.3.b.6.I02.D07,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
200,4.A.3.b.4.I02.D17,A,D,D,D,2/3 consensus
201,4.A.3.a.1.I06.D12,D,D,D,D,3/3 consensus
202,4.A.4.a.5.I10.D04,C,C,D,C,2/3 consensus
203,4.A.3.b.6.I08.D14,A,C,B,CONFLICT,1:1:1 conflict -- needs human review
204,4.A.2.b.3.I01.D02,C,C,C,C,3/3 consensus
205,4.A.3.b.1.I04.D01,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
206,4.A.4.c.2.I01.D08,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
207,4.A.2.a.2.I05.D05,D,D,D,D,3/3 consensus
208,4.A.2.b.1.I04.D12,A,A,A,A,3/3 consensus
209,4.A.3.a.2.I04.D14,D,C,D,D,2/3 consensus
210,4.A.2.a.1.I07.D04,C,C,D,C,2/3 consensus
211,4.A.4.a.2.I11.D08,D,D,D,D,3/3 consensus
212,4.A.1.a.2.I05.D05,D,A,D,D,2/3 consensus
213,4.A.3.a.2.I22.D11,D,A,C,CONFLICT,1:1:1 conflict -- needs human review
214,4.A.2.b.2.I15.D10,D,C,D,D,2/3 consensus
215,4.A.3.a.2.I42.D02,D,C,D,D,2/3 consensus
216,4.A.3.a.1.I06.D02,A,A,D,A,2/3 consensus
217,4.A.2.a.1.I07.D05,C,C,C,C,3/3 consensus
218,4.A.3.a.2.I09.D08,A,A,D,A,2/3 consensus
219,4.A.1.a.2.I03.D06,C,C,C,C,3/3 consensus
220,4.A.3.a.2.I37.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
221,4.A.2.b.2.I06.D04,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
222,4.A.3.b.6.I14.D02,C,D,D,D,2/3 consensus
223,4.A.2.b.2.I18.D01,C,D,D,D,2/3 consensus
224,4.A.2.b.4.I03.D10,C,D,D,D,2/3 consensus
225,4.A.4.a.6.I03.D08,C,C,C,C,3/3 consensus
226,4.A.3.a.3.I03.D06,C,C,B,C,2/3 consensus
227,4.A.3.a.2.I27.D01,C,C,D,C,2/3 consensus
228,4.A.4.b.6.I06.D01,D,C,C,C,2/3 consensus
229,4.A.4.b.6.I05.D08,D,D,D,D,3/3 consensus
230,4.A.3.a.2.I36.D07,D,D,D,D,3/3 consensus
231,4.A.2.b.6.I02.D06,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
232,4.A.4.a.5.I09.D02,A,D,D,D,2/3 consensus
233,4.A.3.a.2.I01.D06,D,C,D,D,2/3 consensus
234,4.A.2.b.1.I01.D03,A,A,D,A,2/3 consensus
235,4.A.3.b.1.I06.D06,C,D,A,CONFLICT,1:1:1 conflict -- needs human review
236,4.A.4.a.2.I05.D04,C,C,D,C,2/3 consensus
237,4.A.1.b.2.I04.D03,A,A,D,A,2/3 consensus
238,4.A.4.a.5.I09.D03,D,D,D,D,3/3 consensus
239,4.A.3.a.3.I05.D05,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
240,4.A.4.b.4.I12.D15,D,A,D,D,2/3 consensus
241,4.A.4.a.6.I03.D01,C,C,C,C,3/3 consensus
242,4.A.3.a.2.I13.D10,A,A,D,A,2/3 consensus
243,4.A.4.a.5.I01.D05,C,C,D,C,2/3 consensus
244,4.A.2.b.1.I10.D04,C,C,C,C,3/3 consensus
245,4.A.2.a.1.I05.D03,C,C,C,C,3/3 consensus
246,4.A.1.b.3.I03.D04,C,C,C,C,3/3 consensus
247,4.A.2.a.1.I07.D09,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
248,4.A.3.b.1.I04.D02,D,A,D,D,2/3 consensus
249,4.A.4.a.5.I01.D06,A,A,A,A,3/3 consensus
250,4.A.3.a.2.I46.D01,D,A,D,D,2/3 consensus
251,4.A.3.a.1.I12.D05,B,C,C,C,2/3 consensus
252,4.A.2.b.2.I01.D07,C,A,A,A,2/3 consensus
253,4.A.4.b.4.I15.D05,D,C,D,D,2/3 consensus
254,4.A.3.a.2.I01.D10,C,C,B,C,2/3 consensus
255,4.A.3.a.3.I04.D03,D,D,D,D,3/3 consensus
256,4.A.2.a.2.I01.D08,D,A,D,D,2/3 consensus
257,4.A.4.c.2.I01.D01,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
258,4.A.4.b.4.I12.D16,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
259,4.A.1.a.1.I18.D02,C,C,D,C,2/3 consensus
260,4.A.4.c.3.I01.D05,D,C,D,D,2/3 consensus
261,4.A.4.b.4.I13.D01,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
262,4.A.3.a.2.I01.D09,D,D,D,D,3/3 consensus
263,4.A.3.a.3.I11.D02,B,B,D,B,2/3 consensus
264,4.A.3.b.4.I02.D13,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
265,4.A.4.a.2.I06.D03,D,D,D,D,3/3 consensus
266,4.A.2.b.2.I05.D01,D,D,D,D,3/3 consensus
267,4.A.3.b.4.I06.D04,D,A,D,D,2/3 consensus
268,4.A.3.a.1.I11.D11,D,D,D,D,3/3 consensus
269,4.A.1.b.2.I05.D03,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
270,4.A.4.b.4.I14.D02,D,A,D,D,2/3 consensus
271,4.A.2.b.4.I03.D05,D,A,D,D,2/3 consensus
272,4.A.1.b.2.I07.D16,D,A,C,CONFLICT,1:1:1 conflict -- needs human review
273,4.A.4.a.2.I09.D03,D,D,D,D,3/3 consensus
274,4.A.3.a.3.I06.D10,D,C,D,D,2/3 consensus
275,4.A.1.a.1.I02.D03,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
276,4.A.2.b.2.I08.D02,D,A,D,D,2/3 consensus
277,4.A.4.a.8.I03.D05,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
278,4.A.4.b.3.I02.D05,C,C,D,C,2/3 consensus
279,4.A.1.a.1.I06.D04,C,C,D,C,2/3 consensus
280,4.A.2.a.4.I10.D01,D,A,D,D,2/3 consensus
281,4.A.2.a.1.I06.D02,C,D,D,D,2/3 consensus
282,4.A.3.a.2.I46.D02,D,D,D,D,3/3 consensus
283,4.A.4.b.6.I03.D04,C,C,D,C,2/3 consensus
284,4.A.4.b.4.I12.D31,C,D,D,D,2/3 consensus
285,4.A.3.a.1.I05.D09,C,C,C,C,3/3 consensus
286,4.A.4.a.3.I02.D07,C,D,D,D,2/3 consensus
287,4.A.1.a.1.I23.D06,C,A,A,A,2/3 consensus
288,4.A.1.a.2.I01.D02,D,D,D,D,3/3 consensus
289,4.A.4.b.4.I01.D06,D,D,D,D,3/3 consensus
290,4.A.2.a.1.I02.D01,C,D,C,C,2/3 consensus
291,4.A.1.a.1.I21.D02,D,D,D,D,3/3 consensus
292,4.A.4.a.5.I07.D01,C,C,C,C,3/3 consensus
293,4.A.3.a.1.I17.D02,D,C,D,D,2/3 consensus
294,4.A.1.a.1.I18.D01,C,D,D,D,2/3 consensus
295,4.A.1.a.1.I16.D05,D,A,D,D,2/3 consensus
296,4.A.2.a.1.I07.D03,D,A,D,D,2/3 consensus
297,4.A.2.b.2.I26.D03,A,B,A,A,2/3 consensus
298,4.A.4.a.2.I08.D05,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
299,4.A.4.b.6.I01.D03,A,A,D,A,2/3 consensus
300,4.A.3.b.6.I08.D04,A,A,A,A,3/3 consensus
301,4.A.4.a.5.I03.D10,A,D,D,D,2/3 consensus
302,4.A.4.b.4.I16.D01,A,A,C,A,2/3 consensus
303,4.A.4.a.5.I11.D02,C,D,D,D,2/3 consensus
304,4.A.3.a.3.I06.D06,D,C,A,CONFLICT,1:1:1 conflict -- needs human review
305,4.A.3.b.1.I06.D05,A,A,D,A,2/3 consensus
306,4.A.1.b.1.I01.D06,C,C,D,C,2/3 consensus
307,4.A.4.a.1.I01.D01,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
308,4.A.4.a.8.I03.D03,C,C,A,C,2/3 consensus
309,4.A.1.a.1.I10.D07,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
310,4.A.2.a.2.I05.D02,B,D,D,D,2/3 consensus
311,4.A.2.b.1.I04.D05,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
312,4.A.4.a.2.I11.D06,C,C,D,C,2/3 consensus
313,4.A.1.a.2.I02.D08,C,D,C,C,2/3 consensus
314,4.A.1.a.1.I23.D02,B,D,D,D,2/3 consensus
315,4.A.4.b.4.I01.D02,C,C,D,C,2/3 consensus
316,4.A.4.b.5.I01.D01,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
317,4.A.4.c.1.I03.D11,A,A,D,A,2/3 consensus
318,4.A.1.a.1.I06.D01,C,C,C,C,3/3 consensus
319,4.A.3.b.1.I03.D03,B,D,D,D,2/3 consensus
320,4.A.1.b.2.I06.D12,C,D,D,D,2/3 consensus
321,4.A.2.b.2.I02.D02,D,C,D,D,2/3 consensus
322,4.A.2.b.1.I04.D10,C,C,B,C,2/3 consensus
323,4.A.1.a.2.I07.D10,A,C,A,A,2/3 consensus
324,4.A.4.a.2.I05.D02,D,C,C,C,2/3 consensus
325,4.A.4.a.6.I03.D05,D,A,A,A,2/3 consensus
326,4.A.3.a.2.I08.D05,D,A,D,D,2/3 consensus
327,4.A.3.a.3.I02.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
328,4.A.4.c.2.I01.D07,D,A,D,D,2/3 consensus
329,4.A.1.a.1.I04.D06,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
330,4.A.3.a.2.I20.D02,D,D,D,D,3/3 consensus
331,4.A.2.a.2.I05.D01,D,C,D,D,2/3 consensus
332,4.A.2.b.3.I01.D12,D,A,D,D,2/3 consensus
333,4.A.3.a.2.I04.D04,D,C,D,D,2/3 consensus
334,4.A.3.b.6.I08.D01,A,A,A,A,3/3 consensus
335,4.A.4.a.5.I12.D03,C,A,A,A,2/3 consensus
336,4.A.2.b.2.I06.D01,C,C,B,C,2/3 consensus
337,4.A.3.a.1.I08.D07,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
338,4.A.4.a.2.I04.D04,C,D,D,D,2/3 consensus
339,4.A.1.b.2.I06.D02,C,C,D,C,2/3 consensus
340,4.A.1.b.3.I01.D10,D,C,C,C,2/3 consensus
341,4.A.3.a.1.I01.D01,D,C,D,D,2/3 consensus
342,4.A.4.c.3.I01.D02,C,C,A,C,2/3 consensus
343,4.A.4.b.6.I10.D03,C,C,D,C,2/3 consensus
344,4.A.3.a.2.I12.D05,C,C,C,C,3/3 consensus
345,4.A.4.b.3.I06.D10,D,D,D,D,3/3 consensus
346,4.A.3.a.2.I12.D10,B,D,D,D,2/3 consensus
347,4.A.3.a.2.I03.D10,D,A,D,D,2/3 consensus
348,4.A.4.c.3.I05.D02,A,A,D,A,2/3 consensus
349,4.A.2.a.1.I06.D04,A,A,D,A,2/3 consensus
350,4.A.4.a.2.I03.D08,C,D,D,D,2/3 consensus
351,4.A.3.b.4.I01.D03,C,D,D,D,2/3 consensus
352,4.A.4.a.5.I09.D06,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
353,4.A.1.b.2.I06.D09,C,D,D,D,2/3 consensus
354,4.A.4.a.2.I09.D09,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
355,4.A.3.a.1.I10.D07,A,A,D,A,2/3 consensus
356,4.A.4.b.4.I14.D01,A,A,D,A,2/3 consensus
357,4.A.1.a.1.I02.D06,C,C,D,C,2/3 consensus
358,4.A.4.a.1.I05.D03,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
359,4.A.4.a.5.I11.D01,A,A,D,A,2/3 consensus
360,4.A.4.b.4.I12.D04,D,C,D,D,2/3 consensus
361,4.A.2.b.4.I03.D02,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
362,4.A.3.a.3.I02.D01,B,A,A,A,2/3 consensus
363,4.A.4.a.2.I11.D01,A,A,D,A,2/3 consensus
364,4.A.4.b.6.I10.D01,A,A,D,A,2/3 consensus
365,4.A.4.b.6.I10.D05,C,C,D,C,2/3 consensus
366,4.A.3.a.1.I06.D09,A,A,D,A,2/3 consensus
367,4.A.2.a.4.I10.D05,D,D,D,D,3/3 consensus
368,4.A.4.a.2.I05.D06,A,D,D,D,2/3 consensus
369,4.A.4.a.6.I03.D12,C,C,D,C,2/3 consensus
370,4.A.3.b.6.I10.D01,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
371,4.A.2.b.2.I20.D05,A,A,D,A,2/3 consensus
372,4.A.3.a.1.I03.D18,B,C,B,B,2/3 consensus
373,4.A.4.a.3.I02.D02,C,C,D,C,2/3 consensus
374,4.A.3.a.2.I11.D03,A,C,A,A,2/3 consensus
375,4.A.3.a.2.I46.D06,D,C,D,D,2/3 consensus
376,4.A.3.a.3.I04.D04,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
377,4.A.2.a.4.I11.D02,D,C,D,D,2/3 consensus
378,4.A.3.a.2.I39.D02,B,B,D,B,2/3 consensus
379,4.A.4.b.4.I12.D34,A,A,D,A,2/3 consensus
