DWA_ID,step_order,action_description,mapped_stage,cognitive_or_physical,cluster_id,intelligence_type,confidence,conf_LLM,conf_Multimodal_Perception,conf_Embodied,conf_Human_Bound
4.A.1.a.2.I01.D04,2,"Navigate to the equipment's location, adhering to safety protocols.",Navigation_Addressing,Physical,10,Multimodal_Perception,0.7193,0.0554,0.7193,0.2165,0.0087
4.A.1.a.2.I01.D04,3,"Inspect lubrication points for wear, contamination, or insufficient lubricant.",Perception_Diagnosis,Cognitive,34,Multimodal_Perception,0.9979,0.0002,0.9979,0.0018,0.0
4.A.1.a.2.I01.D04,4,Don appropriate PPE and secure the equipment to prevent movement.,Manipulation_Execution,Physical,-1,Embodied,0.7619,0.0238,0.1942,0.7619,0.0201
4.A.1.a.2.I01.D04,5,Apply the correct lubricant type and amount using the appropriate tool.,Manipulation_Execution,Physical,34,Embodied,0.6659,0.0008,0.3324,0.6659,0.0009
4.A.1.a.2.I01.D04,6,Clean excess lubricant and store tools and supplies.,Feedback_Verification,Physical,8,Embodied,0.5821,0.0682,0.3445,0.5821,0.0052
4.A.1.a.2.I01.D04,7,"Document the lubrication service in the maintenance log, noting observations and recommendations.",Feedback_Verification,Cognitive,34,Multimodal_Perception,0.9158,0.0649,0.9158,0.0151,0.0042
4.A.1.b.2.I10.D01,1,Retrieve the batch of materials and the relevant specifications document.,Navigation_Addressing,Physical,-1,Multimodal_Perception,0.4417,0.4105,0.4417,0.1431,0.0046
4.A.1.b.2.I10.D01,2,Identify the required physical characteristics from the specifications document.,Intent_Communication,Cognitive,27,LLM,0.7097,0.7097,0.2779,0.0103,0.002
4.A.1.b.2.I10.D01,3,Select a material sample from the batch for inspection.,Navigation_Addressing,Physical,-1,Multimodal_Perception,0.7869,0.0902,0.7869,0.1192,0.0037
4.A.1.b.2.I10.D01,4,Measure the relevant physical characteristics of the sample using appropriate tools.,Perception_Diagnosis,Physical,-1,Multimodal_Perception,0.8905,0.0896,0.8905,0.0184,0.0015
4.A.1.b.2.I10.D01,5,Compare the measured characteristics to the specified standards.,Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.6324,0.3644,0.6324,0.0006,0.0025
4.A.1.b.2.I10.D01,6,Document the measurement results and any deviations from the specifications.,Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.749,0.2495,0.749,0.0007,0.0008
4.A.1.b.3.I01.D05,1,"Don personal protective equipment (PPE) including a dosimeter, gloves, and a radiation suit.",Intent_Communication,Physical,5,Embodied,0.3904,0.0175,0.321,0.3904,0.2711
4.A.1.b.3.I01.D05,2,Retrieve a calibrated Geiger counter from the designated storage area.,Navigation_Addressing,Physical,34,Multimodal_Perception,0.9592,0.0051,0.9592,0.035,0.0008
4.A.1.b.3.I01.D05,3,"Navigate to the first measurement location, avoiding high-radiation areas and following safety protocols.",Navigation_Addressing,Cognitive & Physical,10,Multimodal_Perception,0.717,0.0335,0.717,0.1989,0.0507
4.A.1.b.3.I01.D05,4,Position the Geiger counter at the designated point and activate it.,Manipulation_Execution,Physical,-1,Multimodal_Perception,0.9047,0.0022,0.9047,0.0909,0.0022
4.A.1.b.3.I01.D05,5,Observe the Geiger counter's display and record the radiation level.,Perception_Diagnosis,Cognitive,-1,Multimodal_Perception,0.9879,0.0058,0.9879,0.0029,0.0035
4.A.1.b.3.I01.D05,6,Compare the recorded radiation level to the acceptable limits.,Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.8226,0.1226,0.8226,0.0015,0.0533
4.A.1.b.3.I01.D05,7,Document the measurement result and any observations in the logbook.,Feedback_Verification,Cognitive & Physical,25,Multimodal_Perception,0.7365,0.2572,0.7365,0.0016,0.0047
4.A.1.b.3.I01.D05,8,Repeat steps 3-7 for each designated measurement location.,Navigation_Addressing,Cognitive & Physical,9,Multimodal_Perception,0.5976,0.2518,0.5976,0.1478,0.0028
4.A.4.a.3.I03.D02,1,"Review the sales report and identify key trends, figures, and insights to be presented.",Intent_Communication,Cognitive,-1,LLM,0.9956,0.9956,0.0025,1e-04,0.0018
4.A.4.a.3.I03.D02,2,"Organize and structure the presentation slides, ensuring a logical flow and clear narrative.",Navigation_Addressing,Cognitive,22,LLM,0.9432,0.9432,0.018,0.0156,0.0232
4.A.4.a.3.I03.D02,3,"Set up the presentation equipment (laptop, projector, screen) and test audio-visual functionality.",Navigation_Addressing,Physical,21,Multimodal_Perception,0.812,0.1487,0.812,0.0071,0.0322
4.A.4.a.3.I03.D02,4,"Greet the audience, introduce yourself, and clearly state the purpose and scope of the presentation.",Intent_Communication,Cognitive,22,LLM,0.531,0.531,0.0185,0.0605,0.39
4.A.4.a.3.I03.D02,5,"Present the key sales figures and trends, using charts, graphs, and visuals to enhance understanding.",Manipulation_Execution,Cognitive & Physical,17,LLM,0.9966,0.9966,0.001,0.0003,0.0021
4.A.4.a.3.I03.D02,6,"Pause for questions, actively listen to the audience, and provide clear and concise answers.",Feedback_Verification,Cognitive,22,Human_Bound,0.6915,0.2569,0.0291,0.0225,0.6915
4.A.4.a.3.I03.D02,7,"Summarize the key takeaways and main points of the presentation, reinforcing the core message.",Feedback_Verification,Cognitive,22,LLM,0.916,0.916,0.0083,0.0057,0.0699
4.A.4.a.3.I03.D02,8,Conclude the presentation by thanking the audience for their time and attention.,Feedback_Verification,Cognitive,21,Human_Bound,0.6596,0.2726,0.0136,0.0542,0.6596
4.A.4.b.4.I10.D04,1,"Review the installation plan and specifications with the team, clarifying roles and responsibilities.",Intent_Communication,Cognitive,-1,LLM,0.895,0.895,0.0157,0.0194,0.0699
4.A.4.b.4.I10.D04,2,"Inspect the site to verify readiness for installation, including safety checks and accessibility.",Perception_Diagnosis,Physical,-1,LLM,0.5798,0.5798,0.3722,0.0316,0.0163
4.A.4.b.4.I10.D04,3,Coordinate the delivery and staging of necessary materials and equipment to the designated work areas.,Navigation_Addressing,Cognitive,-1,LLM,0.5889,0.5889,0.0045,0.3898,0.0168
4.A.4.b.4.I10.D04,4,"Direct team members to begin installation tasks according to the plan, providing clear instructions and safety guidance.",Manipulation_Execution,Cognitive,-1,LLM,0.7493,0.7493,0.0215,0.177,0.0522
4.A.4.b.4.I10.D04,5,"Monitor progress, address any issues or questions that arise, and make necessary adjustments to the plan.",Feedback_Verification,Cognitive,-1,LLM,0.964,0.964,0.0013,0.0015,0.0332
4.A.4.b.4.I10.D04,6,"Conduct a thorough inspection of the completed installation, verifying compliance with specifications and safety standards.",Perception_Diagnosis,Physical,-1,Multimodal_Perception,0.4914,0.4501,0.4914,0.0312,0.0274
4.A.4.b.4.I10.D04,7,"Test the installed system to ensure proper functionality and performance, documenting any findings.",Feedback_Verification,Physical,-1,LLM,0.5252,0.5252,0.4561,0.0036,0.0152
4.A.4.b.4.I10.D04,8,Communicate the installation completion status and any relevant findings to the client or stakeholders.,Intent_Communication,Cognitive,-1,LLM,0.8649,0.8649,0.0108,0.0024,0.1219
4.A.4.b.6.I05.D01,1,The consultant greets the landowner and establishes the purpose of the consultation.,Intent_Communication,Cognitive,13,LLM,0.6411,0.6411,0.0032,0.004,0.3517
4.A.4.b.6.I05.D01,2,"The consultant actively listens to the landowner's goals, concerns, and existing knowledge about farming or forestry.",Intent_Communication,Cognitive,13,LLM,0.8933,0.8933,0.0055,0.0026,0.0985
4.A.4.b.6.I05.D01,3,"The consultant reviews relevant topographical maps, aerial imagery, and potentially the farm layout to understand the property's characteristics.",Navigation_Addressing,Cognitive,13,LLM,0.9399,0.9399,0.0392,0.0012,0.0197
4.A.4.b.6.I05.D01,4,The consultant explains relevant regulations and best practices for sustainable farming or forestry operations tailored to the landowner's context.,Intent_Communication,Cognitive,13,LLM,0.9372,0.9372,0.0021,0.005,0.0557
4.A.4.b.6.I05.D01,5,"The consultant discusses suitable equipment options, considering the property's size, terrain, and the landowner's needs and budget.",Manipulation_Execution,Cognitive,13,LLM,0.961,0.961,0.0109,0.005,0.0231
4.A.4.b.6.I05.D01,6,"The consultant collaborates with the landowner to develop a preliminary plan outlining potential actions, addressing both short-term needs and long-term goals.",Manipulation_Execution,Cognitive,13,LLM,0.9547,0.9547,0.0002,0.0008,0.0442
4.A.4.b.6.I05.D01,7,"The consultant answers the landowner's questions, addresses concerns, and ensures a clear understanding of the recommendations.",Intent_Communication,Cognitive,13,LLM,0.8289,0.8289,0.0026,0.0014,0.1671
4.A.4.b.6.I05.D01,8,"The consultant provides the landowner with a written summary of the recommendations, including key takeaways, next steps, and relevant resources.",Feedback_Verification,Physical,13,LLM,0.9769,0.9769,0.0006,0.0007,0.0218
4.A.4.a.3.I02.D04,1,Define the target audience and learning objectives for the educational content.,Intent_Communication,Cognitive,-1,LLM,0.9687,0.9687,0.0014,0.0009,0.029
4.A.4.a.3.I02.D04,2,"Gather and prepare appropriate educational materials, such as visuals, demonstrations, or interactive elements.",Navigation_Addressing,Physical,23,LLM,0.6685,0.6685,0.0392,0.1646,0.1277
4.A.4.a.3.I02.D04,3,Choose a suitable environment and set up the space for effective delivery.,Navigation_Addressing,Physical,-1,LLM,0.7931,0.7931,0.0008,0.0449,0.1612
4.A.4.a.3.I02.D04,4,"Introduce the topic, outline the learning objectives, and establish a connection with the audience.",Intent_Communication,Cognitive,23,LLM,0.8539,0.8539,0.0091,0.0193,0.1177
4.A.4.a.3.I02.D04,5,"Deliver the educational content using a variety of methods, such as explanations, demonstrations, storytelling, and interactive activities.",Manipulation_Execution,Cognitive & Physical,23,LLM,0.8809,0.8809,0.0164,0.0232,0.0794
4.A.4.a.3.I02.D04,6,"Encourage questions, facilitate discussions, and address any misconceptions.",Feedback_Verification,Cognitive,22,LLM,0.6566,0.6566,0.0104,0.0062,0.3268
4.A.4.a.3.I02.D04,7,Summarize key takeaways and reinforce the learning objectives.,Feedback_Verification,Cognitive,23,LLM,0.9265,0.9265,0.0306,0.0108,0.0321
4.A.4.a.3.I02.D04,8,"Provide opportunities for further exploration, such as additional resources or follow-up activities.",Intent_Communication,Cognitive,-1,LLM,0.9104,0.9104,0.0069,0.0022,0.0805
4.A.3.b.6.I06.D03,1,Retrieve the patient's electronic medical record.,Navigation_Addressing,Physical,1,Human_Bound,0.9079,0.0627,0.0217,0.0077,0.9079
4.A.3.b.6.I06.D03,2,"Review the patient's medical history, current symptoms, and lab results.",Perception_Diagnosis,Cognitive,1,Human_Bound,0.8095,0.1333,0.0568,0.0004,0.8095
4.A.3.b.6.I06.D03,3,Select the appropriate medical report template.,Navigation_Addressing,Cognitive,1,LLM,0.7981,0.7981,0.0255,0.0033,0.1732
4.A.3.b.6.I06.D03,4,"Populate the template with patient information, findings, and treatment recommendations.",Manipulation_Execution,Cognitive,1,LLM,0.8274,0.8274,0.0041,0.0009,0.1676
4.A.3.b.6.I06.D03,5,"Review the completed report for accuracy, completeness, and clarity.",Feedback_Verification,Cognitive,14,LLM,0.9676,0.9676,0.0043,1e-04,0.028
4.A.3.b.6.I06.D03,6,"Save the report and deliver it to the designated recipient (e.g., physician).",Intent_Communication,Physical,15,Human_Bound,0.8053,0.169,0.0062,0.0195,0.8053
4.A.1.a.1.I20.D09,1,Identify relevant product safety standards and regulations.,Intent_Communication,Cognitive,18,LLM,0.701,0.701,0.2615,0.0092,0.0284
4.A.1.a.1.I20.D09,2,Review product specifications and design documents.,Intent_Communication,Cognitive,27,LLM,0.8242,0.8242,0.169,0.0013,0.0055
4.A.1.a.1.I20.D09,3,Analyze the product for potential hazards based on standards and design.,Perception_Diagnosis,Cognitive,-1,LLM,0.5463,0.5463,0.4404,0.0079,0.0054
4.A.1.a.1.I20.D09,4,Conduct a literature review of relevant safety incidents and case studies.,Perception_Diagnosis,Cognitive,18,LLM,0.775,0.775,0.1583,0.0068,0.0599
4.A.1.a.1.I20.D09,5,Prioritize identified hazards based on severity and likelihood.,Perception_Diagnosis,Cognitive,18,LLM,0.4467,0.4467,0.1814,0.0189,0.353
4.A.1.a.1.I20.D09,6,Develop a safety testing plan based on prioritized hazards.,Manipulation_Execution,Cognitive,18,LLM,0.8457,0.8457,0.0975,0.0151,0.0416
4.A.1.a.1.I20.D09,7,Conduct the safety tests and inspections.,Manipulation_Execution,Physical,18,LLM,0.9156,0.9156,0.0544,0.0117,0.0183
4.A.1.a.1.I20.D09,8,Analyze test results and identify any non-compliance or issues.,Feedback_Verification,Cognitive,20,LLM,0.5022,0.5022,0.4875,0.0002,0.0102
4.A.1.a.1.I20.D09,9,"Compile a comprehensive safety report summarizing findings, recommendations, and supporting evidence.",Feedback_Verification,Cognitive,18,LLM,0.9447,0.9447,0.0302,0.0024,0.0227
4.A.3.a.1.I12.D02,1,Confirm VIP identity and destination.,Intent_Communication,Cognitive,10,LLM,0.4216,0.4216,0.0558,0.2667,0.2559
4.A.3.a.1.I12.D02,2,"Escort VIP to the vehicle/destination, navigating through crowds and potential obstacles.",Navigation_Addressing,Physical,10,Human_Bound,0.5226,0.2062,0.0343,0.2369,0.5226
4.A.3.a.1.I12.D02,3,"Assist VIP into vehicle/destination, ensuring comfort and safety.",Manipulation_Execution,Physical,10,Human_Bound,0.8271,0.0818,0.0223,0.0687,0.8271
4.A.3.a.1.I12.D02,4,"Communicate with VIP during transit, providing updates and information as needed.",Intent_Communication,Cognitive,10,LLM,0.5645,0.5645,0.0107,0.0677,0.3571
4.A.3.a.1.I12.D02,5,Monitor surroundings for potential threats or suspicious activity.,Perception_Diagnosis,Cognitive,2,Multimodal_Perception,0.7784,0.0962,0.7784,0.0759,0.0495
4.A.3.a.1.I12.D02,6,Arrive at destination and ensure safe transfer of VIP.,Navigation_Addressing,Physical,10,Embodied,0.6974,0.096,0.0046,0.6974,0.2021
4.A.3.a.1.I12.D02,7,Confirm VIP's arrival and handover to designated personnel.,Feedback_Verification,Cognitive,10,Human_Bound,0.4694,0.339,0.0155,0.1761,0.4694
4.A.4.b.4.I12.D07,1,"Meet with stakeholders (e.g., sustainability committee, facilities management) to define project goals, scope, and budget.",Intent_Communication,Cognitive,29,LLM,0.9946,0.9946,1e-04,0.0003,0.0051
4.A.4.b.4.I12.D07,2,"Conduct a site assessment to evaluate existing infrastructure, identify potential challenges, and gather necessary data.",Perception_Diagnosis,Physical,19,LLM,0.9898,0.9898,0.0081,0.0004,0.0018
4.A.4.b.4.I12.D07,3,"Develop a detailed project plan outlining the scope of work, timeline, resource allocation, and budget.",Manipulation_Execution,Cognitive,32,LLM,0.9987,0.9987,1e-04,0.0004,0.0008
4.A.4.b.4.I12.D07,4,Secure necessary permits and approvals from relevant authorities.,Navigation_Addressing,Cognitive,-1,LLM,0.5373,0.5373,0.009,0.3806,0.0732
4.A.4.b.4.I12.D07,5,"Procure materials and equipment, ensuring they meet sustainability standards and project specifications.",Navigation_Addressing,Cognitive,13,LLM,0.9774,0.9774,0.0029,0.0163,0.0033
4.A.4.b.4.I12.D07,6,"Supervise the installation process, ensuring adherence to the project plan and safety protocols.",Manipulation_Execution,Physical,-1,LLM,0.8551,0.8551,0.044,0.0304,0.0704
4.A.4.b.4.I12.D07,7,Conduct a final inspection to verify the project's completion and functionality.,Feedback_Verification,Physical,-1,LLM,0.932,0.932,0.0189,0.0012,0.0479
4.A.4.b.4.I12.D07,8,Provide training to stakeholders on the operation and maintenance of the implemented sustainability solution.,Intent_Communication,Cognitive,13,LLM,0.9876,0.9876,0.0009,0.0025,0.009
4.A.4.b.4.I12.D07,9,"Monitor and evaluate the project's impact, collecting data on energy savings, resource consumption, and other relevant metrics.",Feedback_Verification,Cognitive,13,LLM,0.9884,0.9884,0.0091,0.0003,0.0022
4.A.4.b.4.I12.D07,10,"Prepare a final report summarizing project outcomes, lessons learned, and recommendations for future improvements.",Feedback_Verification,Cognitive,-1,LLM,0.9934,0.9934,0.0007,0.0004,0.0055
4.A.1.a.1.I04.D01,1,Receive client request specifying desired property information.,Intent_Communication,Cognitive,3,LLM,0.7362,0.7362,0.0146,0.0205,0.2288
4.A.1.a.1.I04.D01,2,"Access and review the property listing from relevant databases (MLS, online platforms).",Navigation_Addressing,Cognitive,-1,LLM,0.8991,0.8991,0.0439,0.0101,0.0469
4.A.1.a.1.I04.D01,3,Contact property owner or listing agent to request additional details or access.,Intent_Communication,Cognitive,-1,LLM,0.7057,0.7057,0.1398,0.0357,0.1188
4.A.1.a.1.I04.D01,4,"Conduct a physical inspection of the property, noting key features, condition, and measurements.",Perception_Diagnosis,Physical,19,LLM,0.5486,0.5486,0.4223,0.0162,0.0129
4.A.1.a.1.I04.D01,5,"Research public records (property tax, zoning) to gather relevant data.",Navigation_Addressing,Cognitive,19,LLM,0.9549,0.9549,0.0195,0.0068,0.0188
4.A.1.a.1.I04.D01,6,"Compile all gathered information into a structured report, including photographs and notes.",Manipulation_Execution,Cognitive,-1,LLM,0.9939,0.9939,0.0015,0.0012,0.0034
4.A.1.a.1.I04.D01,7,"Review the report for completeness and accuracy, making necessary revisions.",Feedback_Verification,Cognitive,14,LLM,0.9366,0.9366,0.0023,0.0005,0.0606
4.A.1.a.1.I04.D01,8,"Deliver the report to the client, addressing any questions or concerns.",Feedback_Verification,Cognitive,3,LLM,0.8894,0.8894,0.0008,0.0007,0.1091
4.A.2.b.1.I04.D02,1,"Review project requirements and constraints, including land availability, budget, timelines, proximity to resources, and environmental impact.",Intent_Communication,Cognitive,-1,LLM,0.994,0.994,0.0011,0.0004,0.0046
4.A.2.b.1.I04.D02,2,"Identify potential sites using databases, maps, and geographic information systems (GIS).",Navigation_Addressing,Cognitive,19,LLM,0.9666,0.9666,0.0258,0.0064,0.0012
4.A.2.b.1.I04.D02,3,"Conduct site visits to assess physical conditions, accessibility, visibility, and environmental factors.",Perception_Diagnosis,Physical,19,LLM,0.9387,0.9387,0.0565,0.0023,0.0025
4.A.2.b.1.I04.D02,4,"Collect and analyze data on local demographics, transportation infrastructure, zoning regulations, and environmental permits.",Perception_Diagnosis,Cognitive,-1,LLM,0.9939,0.9939,0.0025,0.0007,0.0029
4.A.2.b.1.I04.D02,5,"Develop a shortlist of potential locations based on the evaluation of project requirements, site visits, and data analysis.",Navigation_Addressing,Cognitive,-1,LLM,0.9972,0.9972,0.0008,0.0007,0.0012
4.A.2.b.1.I04.D02,6,"Present the shortlisted locations to stakeholders, incorporating visualizations and clear explanations of the selection criteria.",Intent_Communication,Cognitive,-1,LLM,0.9864,0.9864,0.0016,0.0021,0.0099
4.A.2.b.1.I04.D02,7,"Finalize the location selection based on stakeholder feedback, further analysis, and a comprehensive cost-benefit evaluation.",Feedback_Verification,Cognitive,-1,LLM,0.9456,0.9456,0.0015,0.0014,0.0514
4.A.2.b.1.I04.D02,8,"Document the location selection process, including rationale, trade-offs, and any outstanding considerations.",Feedback_Verification,Cognitive,-1,LLM,0.9873,0.9873,0.0004,0.0007,0.0116
4.A.4.b.3.I01.D01,1,"The therapist discusses the patient's needs and goals for adaptive skill training, considering their medical history, current abilities, and home environment.",Intent_Communication,Cognitive,1,Human_Bound,0.8484,0.1401,0.0087,0.0028,0.8484
4.A.4.b.3.I01.D01,2,"The therapist demonstrates the target adaptive skill, breaking it down into clear, manageable steps and emphasizing safety precautions.",Manipulation_Execution,Physical,1,Human_Bound,0.5225,0.307,0.0827,0.0879,0.5225
4.A.4.b.3.I01.D01,3,"The patient practices the skill under the therapist's guidance, receiving hands-on assistance and verbal feedback as needed.",Manipulation_Execution,Physical,1,Human_Bound,0.9204,0.0514,0.0185,0.0097,0.9204
4.A.4.b.3.I01.D01,4,"The therapist observes the patient performing the skill independently, noting areas of strength and areas needing improvement.",Feedback_Verification,Cognitive,1,Human_Bound,0.5956,0.0853,0.3002,0.0189,0.5956
