DWA_ID,DWA_Title,analysis_group,Eloundou_task,AIOE,FreyOsborne
4.A.2.b.2.I18.D18,Create graphical representations of mechanical equipment.,M7,0.5892857142857143,0.6475732,0.3156
4.A.3.a.1.I07.D06,Apply adhesives to construction materials.,M2,0.0,-1.4178271818181818,0.729090909090909
4.A.3.b.4.I06.D06,Repair mechanical equipment.,M4,,,
4.A.3.b.6.I01.D01,Prepare financial documents.,M4,0.609375,1.1163512642857143,0.3843571428571429
4.A.1.a.2.I09.D06,Inspect condition of natural environments.,M4,0.2857142857142857,0.4581788999999999,0.01536
4.A.4.b.3.I02.D06,Apply multiple teaching methods.,M6,0.3461538461538461,0.6690652100000001,0.1031555555555555
4.A.3.a.1.I01.D07,Prepare medications or medical solutions.,M6,0.2763157894736842,0.1569216222222222,0.2415
4.A.4.a.3.I03.D12,Provide transportation information to passengers or customers.,M1,0.5769230769230769,-0.4576929222222222,0.67875
4.A.3.b.6.I14.D07,Complete documentation required by programs or regulations.,Noise,0.5833333333333334,1.163924625,0.334
4.A.1.a.1.I10.D01,Research impacts of environmental conservation initiatives.,M4,0.5,0.957567975,0.1655
4.A.3.a.2.I07.D05,Shape metal workpieces with hammers or other small hand tools.,M2,0.0,-0.7440586888888889,0.8244444444444444
4.A.1.b.2.I05.D16,Inspect buildings or grounds to determine condition.,Noise,0.1875,-0.922532575,0.78
4.A.1.a.2.I02.D13,Monitor biofuel production operations.,mixed_dwa,0.6875,-0.6702387,0.86
4.A.2.b.2.I10.D01,Develop health assessment methods or programs.,Noise,0.4285714285714285,1.0405211,0.00485
4.A.3.b.6.I08.D19,Record operational details of travel.,M1,0.71,-0.1383901461538461,0.4833333333333333
4.A.2.b.6.I02.D01,"Plan layout of construction, installation, or repairs.",Noise,0.35,-1.10504626,0.472
4.A.1.a.2.I07.D01,Monitor environment to ensure safety.,M4,0.25,0.0894310999999999,0.2845
4.A.1.b.2.I06.D18,Inspect installed components or assemblies.,Noise,0.25,-0.7741144999999999,0.8049999999999999
4.A.3.a.2.I19.D06,Remove parts or components from equipment.,Noise,0.0,-1.0646731625,0.62625
4.A.4.b.3.I05.D02,Instruct patients in the use of assistive equipment.,M6,0.2166666666666666,0.17978791,0.1995
4.A.1.a.1.I21.D03,"Investigate transportation incidents, violations, or complaints.",M4,0.4375,-0.3305043666666666,0.88
4.A.2.b.1.I04.D08,Determine construction project layouts.,M7,0.35,-1.0847996,0.75
4.A.3.a.2.I21.D03,Apply solutions to hair for therapeutic or cosmetic purposes.,Noise,0.0,-0.6450311,0.4975
4.A.3.a.3.I10.D01,Operate communications equipment or systems.,Noise,0.7894736842105263,0.4702215454545455,0.620909090909091
4.A.2.a.3.I03.D03,Examine financial records or processes.,M4,0.5,1.268240125,0.53
4.A.2.b.1.I10.D06,Select production equipment according to product specifications.,M7,0.1964285714285714,-0.9688903869565216,0.8956521739130435
4.A.3.a.2.I01.D16,Construct exhibits or parts of exhibits.,Noise,0.25,0.1978409333333333,0.2007666666666666
4.A.2.b.1.I05.D01,Make decisions in legal cases.,M4,0.6875,1.434267,0.06
4.A.4.b.3.I02.D04,Lead classes or community events.,Noise,0.3026315789473684,1.0567422888888889,0.01085
4.A.3.a.2.I19.D08,Disable door locks.,M4,0.0,-0.8657498,0.77
4.A.3.b.4.I02.D04,Maintain office equipment in proper operating condition.,mixed_dwa,0.15,0.2242330125,0.84875
4.A.4.a.2.I03.D06,Communicate with others to coordinate vehicle movement.,M1,0.5833333333333334,-0.07105659,0.5201
4.A.4.b.6.I09.D02,Recommend improvements to increase safety or reduce risks.,M5,0.4166666666666667,-0.26726884,0.1573999999999999
4.A.2.b.2.I20.D02,Develop sustainable business strategies or practices.,M5,0.5,1.172495,0.121
4.A.4.a.2.I02.D01,Collaborate on research activities with scientists or technical specialists.,Noise,0.5,0.8531954166666668,0.2120454545454545
4.A.1.a.2.I11.D02,Inspect products or operations to ensure that standards are met.,Noise,0.3863636363636363,-0.5903754,0.8574999999999999
4.A.3.a.2.I07.D04,Reshape small metal components for precision assembly.,Noise,0.0,-0.1560197,0.9499999999999998
4.A.3.b.6.I02.D06,Prepare investigation or incident reports.,M5,0.5384615384615384,-0.21206906,0.28905
4.A.1.b.2.I06.D06,Inspect work to ensure standards are met.,Noise,0.375,-1.0223149857142857,0.7614285714285715
4.A.3.a.2.I03.D05,Assist chefs or caterers with food or drink preparation.,M2,0.0,-0.6749300333333332,0.9333333333333332
4.A.4.b.4.I08.D01,Direct quality control activities.,Noise,0.5,0.8197096749999999,0.242
4.A.2.a.1.I01.D04,Assess individual or community needs for educational or social services.,M6,0.375,0.7284079,0.0261666666666666
4.A.3.a.2.I15.D01,Grind parts to required dimensions.,M2,0.0,-0.97140512,0.796
4.A.3.b.6.I12.D04,Modify teaching methods or materials to accommodate student needs.,M6,0.4210526315789473,0.6516911636363637,0.1026444444444444
4.A.4.c.3.I05.D01,"Order materials, supplies, or equipment.",Noise,0.5608108108108109,-0.2289527885245901,0.70645
4.A.3.a.2.I37.D02,Stock medical or patient care supplies.,Noise,0.075,-0.5055763833333333,0.576
4.A.1.b.2.I09.D01,Check physical condition of people or animals.,M6,0.125,0.1968669799999999,0.152375
4.A.3.a.4.I01.D08,Control equipment that regulates vehicle traffic.,M1,0.9642857142857144,-0.6435265666666666,0.9033333333333332
4.A.3.a.1.I06.D05,Load materials into construction equipment.,Noise,0.0,-1.5742904,0.756
4.A.3.b.4.I07.D05,Rebuild parts or components.,Noise,0.0,-0.901549775,0.7475
4.A.2.b.2.I05.D02,"Develop safety standards, policies, or procedures.",M5,0.5,1.0077252,0.1043999999999999
4.A.3.a.2.I37.D01,Stock products or parts.,M1,0.0714285714285714,0.3294154285714285,0.6495714285714286
4.A.3.b.6.I12.D10,Develop training materials.,M6,0.5,1.2723893333333334,0.1619125
4.A.2.b.2.I08.D03,Develop environmental sustainability plans or projects.,Noise,0.5,0.9106742714285716,0.0994285714285714
4.A.3.a.2.I33.D04,Refinish wood or metal surfaces.,M2,0.0,-0.933711025,0.6125
4.A.2.a.3.I01.D06,Verify shipping documentation.,M1,0.7,0.05773234,0.932
4.A.3.a.3.I06.D04,Operate packing or other material processing equipment.,Noise,0.5,-1.1458354,0.93
4.A.3.a.1.I10.D09,Handle luggage or other possessions for patrons.,Noise,0.0357142857142857,-0.1335771499999999,0.52
4.A.2.b.5.I03.D01,Schedule appointments.,M6,0.7065217391304348,0.8332159705882353,0.8229411764705883
4.A.4.a.2.I03.D16,Communicate with others to coordinate material handling or movement.,M1,0.25,-0.87837648,0.6940000000000001
4.A.1.a.1.I23.D03,Interview clients to gather financial information.,M6,0.5,1.36639475,0.6475
4.A.2.a.4.I02.D07,Analyze consumer trends.,M4,0.5,1.1227914,0.61
4.A.4.b.4.I01.D18,Supervise student research or internship work.,M6,0.25,1.140646561904762,0.0554285714285714
4.A.2.b.2.I15.D01,Establish work standards.,Noise,0.4375,-0.57014995,0.7549999999999999
4.A.1.b.2.I05.D12,Inspect facilities or sites to determine if they meet specifications or standards.,Noise,0.4078947368421052,0.9140135,0.18752
4.A.3.b.6.I14.D01,Prepare legal or investigatory documentation.,Noise,0.4545454545454545,1.0796894,0.48
4.A.2.b.2.I07.D06,Determine operational criteria or specifications.,Noise,0.5227272727272727,0.7131936555555556,0.2502222222222222
4.A.4.a.2.I11.D05,Collaborate with law enforcement or security agencies to share information.,Noise,0.3333333333333333,-0.03662666,0.22448
4.A.3.a.3.I05.D06,Operate audio recording equipment.,Noise,0.59375,0.5723219833333334,0.4508333333333333
4.A.4.a.2.I05.D05,Collaborate with healthcare professionals to plan or provide treatment.,M6,0.3203125,0.1827772470588235,0.0548347826086956
4.A.3.a.2.I34.D03,Connect hoses to equipment or piping.,Noise,0.0,-1.08321868,0.5820000000000001
4.A.3.a.1.I16.D02,Participate in physical training to maintain fitness.,M6,0.0,-1.2211265,0.575
4.A.2.b.2.I22.D02,Determine presentation subjects or content.,M6,0.5555555555555556,0.7022253111111111,0.1617777777777777
4.A.3.b.1.I06.D08,Code data or other information.,M4,0.7222222222222222,1.237595,0.618
4.A.3.a.1.I06.D01,"Load shipments, belongings, or materials.",M1,0.0384615384615384,-1.175373488888889,0.83
4.A.1.a.1.I10.D05,Research environmental impact of industrial or development activities.,M7,0.5,1.0211154714285715,0.2162857142857142
4.A.4.b.3.I06.D01,Teach exercise or fitness techniques.,M6,0.1388888888888889,-0.8254248,0.04605
4.A.4.c.3.I03.D05,Distribute resources to patrons or employees.,M1,0.2142857142857142,-0.7174469499999999,0.5429999999999999
4.A.1.a.2.I03.D01,Monitor financial information.,M4,0.75,1.2094596,0.906
4.A.2.b.2.I02.D11,Design healthcare-related software applications.,M7,0.5,,
4.A.4.b.4.I12.D08,Oversee business processes.,Noise,0.4318181818181818,0.97859822,0.4852222222222222
4.A.2.b.2.I19.D01,Develop emergency procedures.,M5,0.5,,
4.A.2.b.2.I15.D06,Plan educational activities.,M6,0.3235294117647059,0.6658378769230769,0.18784
4.A.2.b.3.I01.D08,Maintain knowledge of current developments in area of expertise.,M4,0.4782608695652174,0.9597201647058824,0.162435294117647
4.A.2.b.2.I17.D02,Plan programs to address community health issues.,Noise,0.375,0.8591987833333333,0.0172
4.A.4.b.4.I09.D10,Prepare project budgets.,M7,0.5,0.9628194142857142,0.2532857142857143
4.A.1.a.1.I16.D01,Research genetic characteristics or expression.,mixed_dwa,0.5625,0.85707804,0.0835999999999999
4.A.3.b.6.I03.D02,Prepare research or technical reports.,M4,0.6071428571428571,0.8127320272727272,0.6588
4.A.1.b.2.I05.D06,Monitor cargo area conditions.,Noise,0.2,-0.971073175,0.86
4.A.3.a.2.I09.D12,Adjust equipment controls to regulate coolant flow.,M4,0.1964285714285714,-0.9363265153846154,0.8715384615384616
4.A.2.b.4.I03.D04,Develop business or financial information systems.,Noise,0.5333333333333333,1.2992049,0.2795999999999999
4.A.2.b.1.I04.D13,Determine technical requirements of productions or projects.,Noise,0.5416666666666666,0.2929439124999999,0.2479375
4.A.4.a.2.I09.D05,Collaborate with others to determine technical details of productions.,Noise,0.3035714285714285,0.3850895909090909,0.17185
4.A.4.a.8.I03.D02,Respond to customer inquiries.,M6,0.575,0.0392130875,0.8128571428571428
4.A.3.a.2.I08.D03,"Prepare materials for preservation, storage, or display.",Noise,0.1666666666666666,0.1975778399999999,0.4579999999999999
4.A.4.a.2.I06.D04,Share sales-related or market information with colleagues.,Noise,0.5,1.0976375,0.0900333333333333
4.A.2.a.2.I01.D10,Verify mathematical calculations.,Noise,0.75,0.5086532,0.6216666666666667
4.A.3.a.2.I38.D04,Collect geological samples.,M4,0.125,-1.1584433,0.45
4.A.3.b.1.I04.D03,Resolve computer software problems.,M4,0.5,1.341258,0.92
4.A.4.a.1.I01.D02,Explain use of products or services.,M6,0.3214285714285714,-0.7149003,0.4526
4.A.3.a.2.I02.D02,Collect samples of raw materials or finished products.,M2,0.125,0.8098181333333333,0.1463333333333333
4.A.4.a.5.I02.D02,Implement therapeutic programs to improve patient functioning.,M6,0.3214285714285714,-0.285435,0.2126666666666667
4.A.4.a.8.I02.D01,Operate gaming equipment.,Noise,0.75,0.2629292,0.935
4.A.2.b.1.I02.D01,Determine causes of operational problems or failures.,M4,0.4642857142857143,0.89961936,0.1848
4.A.3.a.2.I12.D11,"Cut carpet, vinyl or other flexible materials.",Noise,0.0,-1.4529346363636364,0.7636363636363637
4.A.4.b.6.I05.D05,Advise others on analytical techniques.,mixed_dwa,0.5,1.2354506666666667,0.1906666666666666
4.A.2.b.1.I07.D02,Edit documents.,M5,0.575,0.931802525,0.43284
4.A.3.a.3.I12.D03,Operate woodworking equipment.,Noise,0.0714285714285714,-1.1701935,0.915
4.A.2.a.1.I01.D01,Evaluate potential problems in home or work environments of clients.,mixed_dwa,0.35,0.7966413999999999,0.01235
4.A.4.a.2.I13.D01,Discuss service options or needs with clients.,M6,0.2083333333333333,-0.6814136749999999,0.5733333333333334
4.A.3.a.2.I08.D04,Decorate indoor or outdoor spaces.,Noise,0.0,-1.5803836666666669,0.7666666666666666
4.A.3.b.6.I08.D03,Record operational or production data.,Noise,0.7274774774774775,-0.7561964313253012,0.8197160493827161
4.A.4.b.4.I01.D15,Supervise technical medical personnel.,M6,0.3125,0.3576937166666666,0.0064
4.A.1.a.2.I03.D04,Monitor flow of cash or other resources.,mixed_dwa,0.625,1.0178489,0.09658
4.A.1.b.2.I04.D01,Inspect motor vehicles.,M4,0.2875,-0.844996325,0.795
4.A.1.b.1.I01.D02,Mark agricultural or forestry products for identification.,Noise,0.0555555555555555,-1.0323988285714285,0.8059999999999998
